Date,Open,High,Low,Close,Adj Close,Volume
02-11-2023,218.5,219.600006,216.699997,217.350006,217.350006,13261560
03-11-2023,219,220.649994,217.649994,219.050003,219.050003,8569115
06-11-2023,220.399994,220.699997,216.75,217.149994,217.149994,11494090
07-11-2023,217.899994,218.800003,216.5,217.199997,217.199997,7558170
08-11-2023,217.800003,217.899994,213.800003,214.149994,214.149994,17101600
09-11-2023,214.850006,217.699997,214.850006,215.149994,215.149994,17250090
10-11-2023,214.850006,222.949997,214.350006,221.949997,221.949997,18467210
13-11-2023,223,225.899994,222.25,224.75,224.75,12086990
15-11-2023,226.949997,227.350006,223.199997,224.149994,224.149994,15782000
16-11-2023,225.5,229.300003,223.850006,226.949997,226.949997,17856030
17-11-2023,226,226,220.399994,220.800003,220.800003,19607100
20-11-2023,221.75,221.75,215.050003,215.5,215.5,20403360
21-11-2023,217.399994,223.149994,216.550003,220.199997,220.199997,25625460
22-11-2023,219.699997,223.399994,218.5,221.899994,221.899994,15012270
23-11-2023,222.5,223.25,219.600006,221.25,221.25,11267950
24-11-2023,221.899994,227.850006,220.5,226.5,226.5,31420610
28-11-2023,228.050003,232.300003,225.300003,226.350006,226.350006,25668670
29-11-2023,229.350006,229.350006,224.199997,226.050003,226.050003,14007700
30-11-2023,226.050003,231.800003,222.649994,229.399994,229.399994,45432210
01-12-2023,231.449997,231.600006,224.850006,225.5,225.5,17634910
04-12-2023,229.75,232,227.899994,230.100006,230.100006,21079660
05-12-2023,231,246,229.399994,242.5,242.5,60847480
06-12-2023,244.899994,251.600006,243,247.050003,247.050003,45262700
07-12-2023,249,250.699997,245.100006,249.149994,249.149994,23000400
08-12-2023,249,250.5,240,244.25,244.25,19056790
11-12-2023,244.850006,247,243.050003,245.600006,245.600006,8875953
12-12-2023,246.050003,247.300003,238.300003,240.550003,240.550003,12749590
13-12-2023,242,242.399994,235.350006,239.75,239.75,13774940
14-12-2023,242.899994,243.75,238.050003,238.600006,238.600006,14352890
15-12-2023,240,242.600006,236.399994,237.649994,237.649994,26225280
18-12-2023,241,242.199997,237.600006,240.149994,240.149994,17001750
19-12-2023,240.300003,240.800003,237.899994,238.300003,238.300003,13053450
20-12-2023,238.899994,248.199997,230.050003,232.100006,232.100006,44628840
21-12-2023,230.850006,238.699997,229,238,238,17015300
22-12-2023,238.75,239.75,234.600006,236.75,236.75,10871310
26-12-2023,237.25,238,233.699997,234.699997,234.699997,11865880
27-12-2023,236,237.25,233,234,234,12430460
28-12-2023,235,236.350006,232.550003,233.350006,233.350006,10533950
29-12-2023,233.899994,235.199997,232.25,232.949997,232.949997,11614920
01-01-2024,233.350006,236.399994,233.300003,234.550003,234.550003,7919961
02-01-2024,235,236,232,235.350006,235.350006,9216592
