Date,Open,High,Low,Close,Adj Close,Volume
19-02-2019,71.376503,71.610001,71.239998,71.699997,71.699997,0
20-02-2019,71.305,71.330002,70.931999,71.599998,71.599998,0
21-02-2019,71.049004,71.233002,70.93,71.300003,71.300003,0
22-02-2019,71.184998,71.230003,71.019997,71.184998,71.184998,0
25-02-2019,71.027496,71.150002,70.814903,71.030998,71.030998,0
26-02-2019,70.824501,71.43,70.801498,71.089996,71.089996,0
27-02-2019,70.940002,71.480003,70.919998,70.940002,70.940002,0
28-02-2019,71.215302,71.592499,70.703499,71.190002,71.190002,0
01-03-2019,70.816002,71.059998,70.688301,70.816002,70.816002,0
04-03-2019,70.989998,71.199997,70.739502,70.989998,70.989998,0
05-03-2019,70.900002,70.976501,70.397003,70.900002,70.900002,0
06-03-2019,70.480003,70.683502,70.020203,70.7425,70.7425,0
07-03-2019,70.070503,70.141502,69.782997,70.364998,70.364998,0
08-03-2019,70.487503,70.487503,69.775299,70.487503,70.487503,0
11-03-2019,69.9869,70.023499,69.792,69.9869,69.9869,0
12-03-2019,69.7901,69.790298,69.481499,69.7901,69.7901,0
13-03-2019,69.615501,69.814499,69.414001,69.845001,69.845001,0
14-03-2019,69.726303,69.726303,69.313004,69.726303,69.726303,0
15-03-2019,69.337303,69.627502,68.915001,69.337303,69.337303,0
18-03-2019,68.953003,69.239998,68.455002,68.953003,68.953003,0
19-03-2019,68.614998,69.171501,68.350502,68.617996,68.617996,0
20-03-2019,69.007599,69.317497,68.741501,69.317497,69.317497,0
21-03-2019,68.780502,68.782997,68.43,68.824997,68.824997,0
22-03-2019,68.800499,69.251503,68.547997,68.93,68.93,0
25-03-2019,69.160599,69.185997,68.790001,69.1605,69.1605,0
26-03-2019,68.923401,69.301498,68.634003,68.923401,68.923401,0
27-03-2019,68.986,69.195801,68.769997,69.427498,69.427498,0
28-03-2019,69.089996,69.357002,68.914001,69.370003,69.370003,0
29-03-2019,69.181503,69.348999,69.039001,69.5,69.5,0
01-04-2019,69.43,69.610001,69.18,69.43,69.43,0
02-04-2019,69.195503,69.529999,68.739899,69.195297,69.195297,0
03-04-2019,68.9105,69.205002,68.377998,68.910202,68.910202,0
04-04-2019,68.443001,69.43,68.440002,68.849998,68.849998,0
05-04-2019,68.970497,69.327499,68.939003,68.970398,68.970398,0
08-04-2019,69.1605,69.769997,69.1605,69.160004,69.160004,0
09-04-2019,69.547997,69.714996,69.248001,69.552498,69.552498,0
10-04-2019,69.261497,69.364799,69.081001,69.261803,69.261803,0
11-04-2019,69.140503,69.495003,68.830002,69.140198,69.140198,0
12-04-2019,69.013,69.43,69.010002,69.43,69.43,0
15-04-2019,69.182999,69.624496,68.924004,69.161003,69.161003,0
16-04-2019,69.388,69.658997,69.3815,69.809998,69.809998,0
17-04-2019,69.523003,69.661003,69.333,69.885002,69.885002,0
18-04-2019,69.401001,69.616997,69.355003,69.401001,69.401001,0
19-04-2019,69.388,69.754997,69.294998,69.380997,69.380997,0
22-04-2019,69.388,69.914497,69.360001,69.360001,69.360001,0
23-04-2019,69.690002,69.834,69.429001,70.0625,70.0625,0
24-04-2019,69.760498,69.988998,69.662003,69.758003,69.758003,0
25-04-2019,69.953003,70.477501,69.916,70.095802,70.095802,0
26-04-2019,70.1605,70.540001,69.764297,70.160004,70.160004,0
29-04-2019,69.843002,70.050003,69.765503,69.842003,69.842003,0
30-04-2019,69.855003,69.920998,69.529999,69.811798,69.811798,0
01-05-2019,69.637497,69.928497,69.438004,69.556,69.556,0
02-05-2019,69.637497,69.649002,69.289001,69.632896,69.632896,0
03-05-2019,69.424301,69.769997,69.0625,69.4244,69.4244,0
06-05-2019,69.087997,69.467003,69.087997,69.167999,69.167999,0
07-05-2019,69.403,69.660004,69.262001,69.400299,69.400299,0
08-05-2019,69.602997,69.910004,69.439003,69.910004,69.910004,0
09-05-2019,69.726997,70.285004,69.683998,70.010002,70.010002,0
10-05-2019,70.193001,70.410004,69.753998,70.410004,70.410004,0
13-05-2019,70.008003,70.636497,69.921501,69.922501,69.922501,0
14-05-2019,70.616997,70.959999,70.240997,70.616997,70.616997,0
15-05-2019,70.306999,70.419502,70.166,70.306999,70.306999,0
16-05-2019,70.2136,70.327499,69.915001,70.209198,70.209198,0
17-05-2019,70.227097,70.303001,70.074997,70.235001,70.235001,0
20-05-2019,70.273003,70.281502,69.260002,70.281502,70.281502,0
21-05-2019,69.601997,70.127502,69.599297,70.127502,70.127502,0
23-05-2019,69.642998,70.190002,69.344398,69.972504,69.972504,0
24-05-2019,69.657997,69.945,69.357498,69.945,69.945,0
27-05-2019,69.373001,69.6119,69.309998,69.360001,69.360001,0
28-05-2019,69.492996,69.728996,69.464996,69.720001,69.720001,0
29-05-2019,69.875,69.998001,69.570999,69.875,69.875,0
30-05-2019,69.815201,70.059998,69.605499,69.815002,69.815002,0
31-05-2019,69.804001,69.980003,69.5858,69.980003,69.980003,0
03-06-2019,69.570503,69.570503,69.124001,69.569603,69.569603,0
04-06-2019,69.161598,69.378998,69.014,69.161903,69.161903,0
05-06-2019,69.283997,69.559998,69.167999,69.559998,69.559998,0
06-06-2019,69.390198,69.625,68.905998,69.625,69.625,0
07-06-2019,69.360001,69.556999,68.973999,69.360001,69.360001,0
10-06-2019,69.348,69.648003,69.120003,69.345001,69.345001,0
11-06-2019,69.509003,69.739998,69.348,69.523499,69.523499,0
12-06-2019,69.389,69.650002,69.252998,69.386497,69.386497,0
